SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
(You Can't Let The Boy Overpower) The Man In YouThe Miracles,No Explicit Content,175893,20,0.393,0.518,G,-8.026,major,0.0403,0.422,0,0.192,0.716,140.742,3,0
(You Don't Have To) Paint Me A PictureGary Lewis And The Playboys,No Explicit Content,136440,9,0.696,0.416,G,-9.518,major,0.0361,0.515,0,0.0407,0.963,81.623,4,0
(You Don't Know) How Glad I AmNancy Wilson,No Explicit Content,157386,59,0.326,0.441,F,-9.117,major,0.0479,0.737,9.69E-6,0.328,0.622,208.072,3,0
(You Drive Me) CrazyBritney Spears,No Explicit Content,198066,61,0.748,0.939,C,-4.288,minor,0.0341,0.0534,0,0.32,0.96,104.001,4,0
(You Gotta) Fight For Your Right (To Party!)Beastie Boys,No Explicit Content,210973,46,0.69,0.862,G#/Ab,-4.242,major,0.0324,0.0394,0.000316,0.101,0.749,133.474,4,0
(You Keep Me) Hangin' OnJoe Simon,No Explicit Content,164826,11,0.59,0.374,G,-13.498,major,0.0248,0.389,0,0.0757,0.639,96.753,4,0
(You Make Me Feel) So GoodThe McCoys,No Explicit Content,161560,8,0.798,0.647,E,-10.997,major,0.0459,0.0366,0.051,0.168,0.854,111.872,4,0
(You Want To) Make A MemoryBon Jovi,No Explicit Content,276453,54,0.496,0.44,C,-7.355,major,0.0263,0.117,0.000111,0.12,0.208,147.96,4,0
(You Were Made For) All My LoveJackie Wilson,No Explicit Content,125866,15,0.321,0.468,D,-4.934,major,0.0317,0.898,8.29E-6,0.113,0.411,76.99,4,0
(You're Gonna) Hurt YourselfFrankie Valli,No Explicit Content,152293,22,0.669,0.581,Bb,-6.929,major,0.0616,0.511,0,0.222,0.659,135.774,4,0
(You're My One And Only) True LoveSeduction,No Explicit Content,230266,31,0.665,0.64,Bb,-12.175,minor,0.052,0.0166,0.00167,0.0636,0.672,104.378,4,0
(You're My) Soul And InspirationDonny & Marie Osmond,No Explicit Content,194880,17,0.271,0.768,D,-4.132,major,0.0514,0.389,0.0000658,0.105,0.662,200.307,4,0
(You're My) Soul And InspirationThe Righteous Brothers,No Explicit Content,201253,47,0.166,0.433,B,-12.048,major,0.0467,0.732,1.04E-6,0.227,0.277,187.437,4,1
